ITEM_NO,COMPANY,Station_Series_ID,DynamicStartFt,DynamicEndFt,TestStartDateTime
70560,Tuscarora,60000,1153125.537,1155467.321,1995-09-22 14:16:00
70560,Tuscarora,60000,1155753.063,1158088.174,1995-09-22 14:16:00
70001,Tuscarora,60000,245985.999,278843.271,1995-10-25 22:00:00
70576,Tuscarora,60000,187883.999,245985.999,1995-10-12 00:00:00
70578,Tuscarora,60000,278843.271,455927,1995-10-26 21:15:00
70579,Tuscarora,60000,455927,465673.999,1995-10-20 17:30:00
70580,Tuscarora,60000,465673.999,480376.999,1995-10-19 21:30:00
70581,Tuscarora,60000,480376.999,525951.896,1995-10-19 19:30:00
70574,Tuscarora,60000,0,126303.998,1995-10-10 00:00:00
70575,Tuscarora,60000,126303.998,187883.999,1995-10-12 17:00:00
70557,Tuscarora,60000,977574,1011613.999,1995-10-07 08:10:00
70558,Tuscarora,60000,1011613.999,1063221.765,1995-10-05 13:55:00
70559,Tuscarora,60000,1063221.765,1111292.001,1995-09-21 10:15:00
70560,Tuscarora,60000,1111292.001,1112498.581,1995-09-22 14:16:00
70560,Tuscarora,60000,1112498.581,1112909.972,1995-09-22 14:16:00
70560,Tuscarora,60000,1112909.972,1113004.723,1995-09-22 14:16:00
70560,Tuscarora,60000,1113004.723,1115118.676,1995-09-22 14:16:00
70560,Tuscarora,60000,1115118.676,1116607.42,1995-09-22 14:16:00
70560,Tuscarora,60000,1116607.42,1117245.901,1995-09-22 14:16:00
70560,Tuscarora,60000,1148681.613,1151437.357,1995-09-22 14:16:00
70560,Tuscarora,60000,1151437.357,1153125.537,1995-09-22 14:16:00
70560,Tuscarora,60000,1136998.381,1140861.386,1995-09-22 14:16:00
70560,Tuscarora,60000,1140861.386,1141600.638,1995-09-22 14:16:00
70560,Tuscarora,60000,1141600.638,1147443.811,1995-09-22 14:16:00
70560,Tuscarora,60000,1147443.811,1147801.042,1995-09-22 14:16:00
70560,Tuscarora,60000,1147801.042,1148634.372,1995-09-22 14:16:00
70560,Tuscarora,60000,1148634.372,1148681.613,1995-09-22 14:16:00
70560,Tuscarora,60000,1117245.901,1124787.744,1995-09-22 14:16:00
70560,Tuscarora,60000,1124787.744,1127306.101,1995-09-22 14:16:00
70560,Tuscarora,60000,1127306.101,1129179.185,1995-09-22 14:16:00
70560,Tuscarora,60000,1129179.185,1133758.873,1995-09-22 14:16:00
70560,Tuscarora,60000,1133758.873,1136681.629,1995-09-22 14:16:00
70560,Tuscarora,60000,1136681.629,1136998.381,1995-09-22 14:16:00
70551,Tuscarora,60000,636453.999,700625.999,1995-11-06 12:10:00
70552,Tuscarora,60000,700625.999,718395,1995-11-03 11:10:00
70553,Tuscarora,60000,718785,808017.227,1995-10-30 09:30:00
70554,Tuscarora,60000,808017.227,951644.997,1995-10-29 10:20:00
70556,Tuscarora,60000,957865,977574,1995-10-09 11:00:00
70550,Tuscarora,60000,634717.999,636453.999,1995-11-08 14:15:00
70526,Tuscarora,60000,1152659.836,1152683.704,1995-10-24 11:45:00
70027,Tuscarora,60000,526086.896,634717.999,1995-11-08 14:14:59
70560,Tuscarora,60000,1155467.321,1155753.063,1995-09-22 14:16:00
70674,Tuscarora,60000,1208187.001,1209410.991,1995-11-06 12:00:00
70023,Tuscarora,60000,1208079.001,1208187.001,1995-11-02 10:30:00
70560,Tuscarora,60000,1158088.174,1159708.745,1995-09-22 14:16:00
70560,Tuscarora,60000,1159708.745,1162704,1995-09-22 14:16:00
70561,Tuscarora,60000,1162704,1195581.997,1995-09-28 10:15:00
70562,Tuscarora,60000,1195581.997,1208079.001,1995-09-29 10:00:00
70033,Tuscarora,61000,0,36454.99349,1996-09-21 07:33:00
70000,Tuscarora,61683,0,2747.0046,2005-06-12 12:00:00
69994,Tuscarora,62000,0,31491.83076,2001-11-08 22:00:00
69994,Tuscarora,62000,31491.83076,37374.98365,2001-11-08 22:00:00
69994,Tuscarora,62000,37374.98365,38427.98562,2001-11-08 22:00:00
